id,nombre,email,telefono,empresa,cargo,pais,origen,softwareId,estado,prioridad,asignadoA,ultimoContacto,createdAt,updatedAt,web,direccion,ciudad,rating,userRatingCount,googleMapsUri,primaryType,businessStatus,notas
cmofs2m800000k7kzb1sb97i7,asda,asd@adsasda,+34663493484,adsasd,adsasda,España,manual,atleevo,NUEVO,MEDIA,,2026-05-19T14:47:32.671Z,2026-04-26T13:02:10.141Z,2026-05-19T14:47:32.683Z,,,,,,,,,
cmpcyji9f0000ih9ud6ou8oyc,Entrenador personal en Madrid | Javier Panizo,,695 24 09 44,Entrenador personal en Madrid | Javier Panizo,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:39.698Z,2026-05-19T18:19:39.698Z,https://javierentrenador.es/,"C. de Zurbarán, 7, bajo 5, Chamberí, 28010 Madrid",Madrid,4.9,367,https://maps.google.com/?cid=2555070679232091134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de Zurbarán, 7, bajo 5, Chamberí, 28010 Madrid
Google: 4.9⭐ (367 reseñas)
Web: https://javierentrenador.es/
Maps: https://maps.google.com/?cid=2555070679232091134&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjijj0001ih9u187a684f,Entrenador personal Madrid | Estudio LIFE,,655 97 24 09,Entrenador personal Madrid | Estudio LIFE,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:40.064Z,2026-05-19T18:19:40.064Z,https://www.estudiolife.es/,"Av. de los Toreros, 20, Salamanca, 28028 Madrid",Madrid,4.8,249,https://maps.google.com/?cid=788080136745000832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Av. de los Toreros, 20, Salamanca, 28028 Madrid
Google: 4.8⭐ (249 reseñas)
Web: https://www.estudiolife.es/
Maps: https://maps.google.com/?cid=788080136745000832&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjit30002ih9uly6zkb6r,Madrid Entrena,,699 86 84 87,Madrid Entrena,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:40.407Z,2026-05-19T18:19:40.407Z,http://madridentrena.com/,"Gran Hotel Conde Duque, Pl. del Conde del Valle de Súchil, Chamberí, 28015 Madrid",Madrid,5,57,https://maps.google.com/?cid=15234604190698414611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Gran Hotel Conde Duque, Pl. del Conde del Valle de Súchil, Chamberí, 28015 Madrid
Google: 5⭐ (57 reseñas)
Web: http://madridentrena.com/
Maps: https://maps.google.com/?cid=15234604190698414611&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjj2m0003ih9ueqxa3pc2,JC Salud y Deporte - Centro de Entrenamiento Personal,,687 32 27 33,JC Salud y Deporte - Centro de Entrenamiento Personal,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:40.751Z,2026-05-19T18:19:40.751Z,http://www.jcsaludydeporte.com/,"Calle de Zurbano, 72, Chamberí, 28010 Madrid",Madrid,5,204,https://maps.google.com/?cid=2830080035749790977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Calle de Zurbano, 72, Chamberí, 28010 Madrid
Google: 5⭐ (204 reseñas)
Web: http://www.jcsaludydeporte.com/
Maps: https://maps.google.com/?cid=2830080035749790977&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjjc40004ih9usp699af7,Healthy Fitness | Entrenador Personal,,914 34 84 40,Healthy Fitness | Entrenador Personal,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:41.093Z,2026-05-19T18:19:41.093Z,https://healthyfitness.es/,"Av. de Menéndez Pelayo, 38, Retiro, 28014 Madrid",Madrid,4.9,97,https://maps.google.com/?cid=4532016190549533649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Av. de Menéndez Pelayo, 38, Retiro, 28014 Madrid
Google: 4.9⭐ (97 reseñas)
Web: https://healthyfitness.es/
Maps: https://maps.google.com/?cid=4532016190549533649&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjjll0005ih9uy7oh969a,JG fitness Ayala | Entrenador personal & Electroestimulación | Madrid,,675 26 58 99,JG fitness Ayala | Entrenador personal & Electroestimulación | Madrid,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:41.434Z,2026-05-19T18:19:41.434Z,https://jgfitness.es/centros/jg-fitness-ayala/,"Cl. de Ayala, 61, Salamanca, 28001 Madrid",Madrid,5,103,https://maps.google.com/?cid=12229443084165566540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Cl. de Ayala, 61, Salamanca, 28001 Madrid
Google: 5⭐ (103 reseñas)
Web: https://jgfitness.es/centros/jg-fitness-ayala/
Maps: https://maps.google.com/?cid=12229443084165566540&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjjuw0006ih9u13x5gle9,Entrenador Personal Madrid Edu Veiga Fitness Studio,,678 55 39 29,Entrenador Personal Madrid Edu Veiga Fitness Studio,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:41.769Z,2026-05-19T18:19:41.769Z,https://www.eduveiga.es/?utm_source=google&utm_medium=organic&utm_campaign=gmb,"C. de Toledo, 84, Centro, 28005 Madrid",Madrid,5,68,https://maps.google.com/?cid=5848342907001364784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de Toledo, 84, Centro, 28005 Madrid
Google: 5⭐ (68 reseñas)
Web: https://www.eduveiga.es/?utm_source=google&utm_medium=organic&utm_campaign=gmb
Maps: https://maps.google.com/?cid=5848342907001364784&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjk4t0007ih9u3e4l3loq,Alvaro Gayoso - Entrenador Personal,,689 17 77 80,Alvaro Gayoso - Entrenador Personal,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:42.126Z,2026-05-19T18:19:42.126Z,https://www.alvarogayoso.com/,"Calle de Diego de León, 43, Salamanca, 28006 Madrid",Madrid,5,99,https://maps.google.com/?cid=6193386545970962810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Calle de Diego de León, 43, Salamanca, 28006 Madrid
Google: 5⭐ (99 reseñas)
Web: https://www.alvarogayoso.com/
Maps: https://maps.google.com/?cid=6193386545970962810&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjkee0008ih9uy4uc5jgz,E-Motion - Entrenamiento personal,,910 71 15 97,E-Motion - Entrenamiento personal,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:42.471Z,2026-05-19T18:19:42.471Z,http://emotiontraining.es/,"C/ del Dr. Gómez Ulla, 8, Salamanca, 28028 Madrid",Madrid,5,445,https://maps.google.com/?cid=11734145848334136278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C/ del Dr. Gómez Ulla, 8, Salamanca, 28028 Madrid
Google: 5⭐ (445 reseñas)
Web: http://emotiontraining.es/
Maps: https://maps.google.com/?cid=11734145848334136278&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
