id,nombre,email,telefono,empresa,cargo,pais,origen,softwareId,estado,prioridad,asignadoA,ultimoContacto,createdAt,updatedAt,web,direccion,ciudad,rating,userRatingCount,googleMapsUri,primaryType,businessStatus,notas
cmpcynar200ctih9uj35agt9y,Ruk Gym Madrid,,679 89 65 20,Ruk Gym Madrid,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:36.590Z,2026-05-19T18:22:36.590Z,https://rukgymmadrid.es/,"Av. de Menéndez Pelayo, 3, Salamanca, 28009 Madrid",Madrid,4.9,132,https://maps.google.com/?cid=11312762011921317152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: Av. de Menéndez Pelayo, 3, Salamanca, 28009 Madrid
Google: 4.9⭐ (132 reseñas)
Web: https://rukgymmadrid.es/
Maps: https://maps.google.com/?cid=11312762011921317152&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcynb0200cuih9u8mp3igx4,Fitness Park Madrid - La Gavia,,917 37 44 11,Fitness Park Madrid - La Gavia,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:36.914Z,2026-05-19T18:22:36.914Z,https://www.fitnesspark.es/club/madrid-gavia/,"C. Adolfo Bioy Casares, 2, Villa de Vallecas, 28051 Madrid",Madrid,4.6,1966,https://maps.google.com/?cid=5933370254077080109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. Adolfo Bioy Casares, 2, Villa de Vallecas, 28051 Madrid
Google: 4.6⭐ (1966 reseñas)
Web: https://www.fitnesspark.es/club/madrid-gavia/
Maps: https://maps.google.com/?cid=5933370254077080109&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcynb8z00cvih9uyzonro4k,Fitness Park Madrid - Méndez Álvaro,,919 89 48 03,Fitness Park Madrid - Méndez Álvaro,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:37.235Z,2026-05-19T18:22:37.235Z,https://www.fitnesspark.es/club//madrid-mendez-alvaro,"C. de Méndez Álvaro, 61, Arganzuela, 28045 Madrid",Madrid,4.6,974,https://maps.google.com/?cid=16603190400814147895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. de Méndez Álvaro, 61, Arganzuela, 28045 Madrid
Google: 4.6⭐ (974 reseñas)
Web: https://www.fitnesspark.es/club//madrid-mendez-alvaro
Maps: https://maps.google.com/?cid=16603190400814147895&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcynbia00cwih9u6xdj3xph,Fitness Park Madrid - Principe Pio,,911 17 95 95,Fitness Park Madrid - Principe Pio,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:37.571Z,2026-05-19T18:22:37.571Z,https://www.fitnesspark.es/club/madrid-principe-pio/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Madrid-Principe-Pio&utm_content=Yext,"P.º de la Florida, 2, Moncloa - Aravaca, 28008 Madrid",Madrid,4.3,4034,https://maps.google.com/?cid=9467256916260935132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,fitness_center,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro deportivo
Dirección: P.º de la Florida, 2, Moncloa - Aravaca, 28008 Madrid
Google: 4.3⭐ (4034 reseñas)
Web: https://www.fitnesspark.es/club/madrid-principe-pio/?utm_medium=Local_Inventory&utm_source=GMB&utm_campaign=Madrid-Principe-Pio&utm_content=Yext
Maps: https://maps.google.com/?cid=9467256916260935132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcynbrj00cxih9ugvpy5ard,Fitness Park Madrid - Castellana 85,,911 09 88 44,Fitness Park Madrid - Castellana 85,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:37.904Z,2026-05-19T18:22:37.904Z,https://www.fitnesspark.es/club/madrid-castellana-85/,"P.º de la Castellana, 85, Tetuán, 28046 Madrid",Madrid,4.4,220,https://maps.google.com/?cid=6934588922636733298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: P.º de la Castellana, 85, Tetuán, 28046 Madrid
Google: 4.4⭐ (220 reseñas)
Web: https://www.fitnesspark.es/club/madrid-castellana-85/
Maps: https://maps.google.com/?cid=6934588922636733298&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcync1100cyih9uif28ed01,Wifit Gym,,,Wifit Gym,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:38.245Z,2026-05-19T18:22:38.245Z,https://wifitgyms.com/gimnasios/madrid/wifit-guindalera/,"C. de Cartagena, 16, Salamanca, 28028 Madrid",Madrid,4.9,1427,https://maps.google.com/?cid=539343858289659273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. de Cartagena, 16, Salamanca, 28028 Madrid
Google: 4.9⭐ (1427 reseñas)
Web: https://wifitgyms.com/gimnasios/madrid/wifit-guindalera/
Maps: https://maps.google.com/?cid=539343858289659273&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyncac00czih9u29inoj1w,Fitness Park Madrid - Rio 2,,911 17 84 84,Fitness Park Madrid - Rio 2,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:38.581Z,2026-05-19T18:22:38.581Z,https://www.fitnesspark.es/club/madrid-rio-2/,"avenida del manzanares 210, Plaza Rio, 2, Usera, 28026 Madrid",Madrid,4.6,3732,https://maps.google.com/?cid=10630373808171620940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,fitness_center,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro deportivo
Dirección: avenida del manzanares 210, Plaza Rio, 2, Usera, 28026 Madrid
Google: 4.6⭐ (3732 reseñas)
Web: https://www.fitnesspark.es/club/madrid-rio-2/
Maps: https://maps.google.com/?cid=10630373808171620940&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyncja00d0ih9ujedmp8sp,Estrato Fitness & Weightlifting,,689 78 71 09,Estrato Fitness & Weightlifting,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:38.903Z,2026-05-19T18:22:38.903Z,https://www.estratofit.com/,"C. de Gutenberg, 11, Retiro, 28014 Madrid",Madrid,4.7,409,https://maps.google.com/?cid=3835617106955938919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. de Gutenberg, 11, Retiro, 28014 Madrid
Google: 4.7⭐ (409 reseñas)
Web: https://www.estratofit.com/
Maps: https://maps.google.com/?cid=3835617106955938919&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyncsm00d1ih9u6rknmr36,Forus,,917 70 58 91,Forus,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:39.238Z,2026-05-19T18:22:39.238Z,https://forus.es/centros-forus/madrid/capitan-haya/,"C. del Poeta Joan Maragall, 1, Tetuán, 28020 Madrid",Madrid,4.3,882,https://maps.google.com/?cid=7855496662853606251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. del Poeta Joan Maragall, 1, Tetuán, 28020 Madrid
Google: 4.3⭐ (882 reseñas)
Web: https://forus.es/centros-forus/madrid/capitan-haya/
Maps: https://maps.google.com/?cid=7855496662853606251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcynd1r00d2ih9u6u4ln0yz,Gimnasio Infinit Fitness Santa Engracia - Abierto 24 horas,,914 28 71 21,Gimnasio Infinit Fitness Santa Engracia - Abierto 24 horas,,España,google-maps,atleevogym,NUEVO,MEDIA,,,2026-05-19T18:22:39.568Z,2026-05-19T18:22:39.568Z,https://www.infinitfitness.es/clubs/santaengracia,"Calle de Sta Engracia, 165, Chamberí, 28003 Madrid",Madrid,4.7,249,https://maps.google.com/?cid=2790159768679951625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: Calle de Sta Engracia, 165, Chamberí, 28003 Madrid
Google: 4.7⭐ (249 reseñas)
Web: https://www.infinitfitness.es/clubs/santaengracia
Maps: https://maps.google.com/?cid=2790159768679951625&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
