id,nombre,email,telefono,empresa,cargo,pais,origen,softwareId,estado,prioridad,asignadoA,ultimoContacto,createdAt,updatedAt,web,direccion,ciudad,rating,userRatingCount,googleMapsUri,primaryType,businessStatus,notas
cmpcyr0o200pdih9ucv0a82h6,Numen Yoga Estudio,,664 36 16 55,Numen Yoga Estudio,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:30.146Z,2026-05-19T18:25:30.146Z,https://numenyoga.com/,"Tr.ª del Arenal, 2, 1º, Centro, 28013 Madrid",Madrid,4.9,106,https://maps.google.com/?cid=17330781524103771084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: Tr.ª del Arenal, 2, 1º, Centro, 28013 Madrid
Google: 4.9⭐ (106 reseñas)
Web: https://numenyoga.com/
Maps: https://maps.google.com/?cid=17330781524103771084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr0x800peih9ue2keyl5y,City Yoga Madrid,,685 54 99 06,City Yoga Madrid,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:30.477Z,2026-05-19T18:25:30.477Z,https://www.city-yoga.com/?utm_source=google&utm_medium=local,"Calle de los Artistas, 43, Tetuán, 28020 Madrid",Madrid,4.8,193,https://maps.google.com/?cid=7976600417731803729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: Calle de los Artistas, 43, Tetuán, 28020 Madrid
Google: 4.8⭐ (193 reseñas)
Web: https://www.city-yoga.com/?utm_source=google&utm_medium=local
Maps: https://maps.google.com/?cid=7976600417731803729&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr16g00pfih9ujdggy6e9,"Diwali. Yoga, Wellness & Beauty en Marqués de Vadillo, Puerta del Ángel y Arganzuela",,679 82 21 37,"Diwali. Yoga, Wellness & Beauty en Marqués de Vadillo, Puerta del Ángel y Arganzuela",,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:30.808Z,2026-05-19T18:25:30.808Z,http://diwaliyoga.es/,"Av del Manzanares, 58, Carabanchel, 28019 Madrid",Madrid,4.8,186,https://maps.google.com/?cid=8256449813648618533&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: Av del Manzanares, 58, Carabanchel, 28019 Madrid
Google: 4.8⭐ (186 reseñas)
Web: http://diwaliyoga.es/
Maps: https://maps.google.com/?cid=8256449813648618533&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr1g300pgih9uxk76k4q9,Yoga Home Madrid,,680 64 70 54,Yoga Home Madrid,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:31.155Z,2026-05-19T18:25:31.155Z,http://www.yogahomemadrid.com/,"Calle de María de Molina, 5, Chamartín, 28006 Madrid",Madrid,4.9,177,https://maps.google.com/?cid=3336568097436193494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: Calle de María de Molina, 5, Chamartín, 28006 Madrid
Google: 4.9⭐ (177 reseñas)
Web: http://www.yogahomemadrid.com/
Maps: https://maps.google.com/?cid=3336568097436193494&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr1p700phih9uj3uugk7y,Madrid Yoga shala,,697 30 03 06,Madrid Yoga shala,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:31.484Z,2026-05-19T18:25:31.484Z,http://facebook.com/madridyogashala,"C. Manuel Aleixandre, 7, Arganzuela, 28045 Madrid",Madrid,5,241,https://maps.google.com/?cid=4209542446471702234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: C. Manuel Aleixandre, 7, Arganzuela, 28045 Madrid
Google: 5⭐ (241 reseñas)
Web: http://facebook.com/madridyogashala
Maps: https://maps.google.com/?cid=4209542446471702234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr1y800piih9ur92g269w,Estudio de Yoga - Yogaes,,913 67 76 02,Estudio de Yoga - Yogaes,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:31.808Z,2026-05-19T18:25:31.808Z,https://www.yogaes.com/estudio-yogaes/,"C. de Juan Álvarez Mendizábal, 65, Moncloa - Aravaca, 28008 Madrid",Madrid,5,39,https://maps.google.com/?cid=15154455196394975752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: C. de Juan Álvarez Mendizábal, 65, Moncloa - Aravaca, 28008 Madrid
Google: 5⭐ (39 reseñas)
Web: https://www.yogaes.com/estudio-yogaes/
Maps: https://maps.google.com/?cid=15154455196394975752&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr27d00pjih9u2i8iapzl,Studio Yoga Paz Castro,,616 70 77 69,Studio Yoga Paz Castro,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:32.138Z,2026-05-19T18:25:32.138Z,http://www.studio-kundaliniyoga.com/,"Calle de Ruiz, 7, 2do izq, Centro, 28004 Madrid",Madrid,5,138,https://maps.google.com/?cid=6766141647290144888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: Calle de Ruiz, 7, 2do izq, Centro, 28004 Madrid
Google: 5⭐ (138 reseñas)
Web: http://www.studio-kundaliniyoga.com/
Maps: https://maps.google.com/?cid=6766141647290144888&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr2gf00pkih9uwdx9kw09,GAIA YOGA & SOUL STUDIO,,689 98 94 36,GAIA YOGA & SOUL STUDIO,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:32.464Z,2026-05-19T18:25:32.464Z,https://gaiamadrid.com/,"C. de Fortuny, 47, Chamberí, 28010 Madrid",Madrid,5,173,https://maps.google.com/?cid=4997088113874098845&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: C. de Fortuny, 47, Chamberí, 28010 Madrid
Google: 5⭐ (173 reseñas)
Web: https://gaiamadrid.com/
Maps: https://maps.google.com/?cid=4997088113874098845&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr2qv00plih9uwx740wt5,Zentro Urban Yoga Retiro,,625 36 94 66,Zentro Urban Yoga Retiro,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:32.839Z,2026-05-19T18:25:32.839Z,http://zentrourbanyoga.com/,"C. de Claudio Coello, 5, Salamanca, 28001 Madrid",Madrid,4.7,132,https://maps.google.com/?cid=17818693485559613363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: C. de Claudio Coello, 5, Salamanca, 28001 Madrid
Google: 4.7⭐ (132 reseñas)
Web: http://zentrourbanyoga.com/
Maps: https://maps.google.com/?cid=17818693485559613363&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyr30100pmih9u4dvqt9mj,Be Art Yoga,,675 91 84 27,Be Art Yoga,,España,google-maps,atleevoyoga,NUEVO,MEDIA,,,2026-05-19T18:25:33.169Z,2026-05-19T18:25:33.169Z,https://beartyoga.es/,"C. de Alejandro Ferrant, 4, Arganzuela, 28045 Madrid",Madrid,4.9,118,https://maps.google.com/?cid=10397844447096681744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,yoga_studio,OPERATIONAL,"Importado desde Google Maps
Tipo: Centro de yoga
Dirección: C. de Alejandro Ferrant, 4, Arganzuela, 28045 Madrid
Google: 4.9⭐ (118 reseñas)
Web: https://beartyoga.es/
Maps: https://maps.google.com/?cid=10397844447096681744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
