categoria,softwareId,id,nombre,telefono,web,primaryType,types,ciudad,direccion,rating,userRatingCount,googleMapsUri,createdAt
clinica-medica,atleevo,cmpczlao700p4q1sesppludlt,BE HUMAN ELCHE,623 00 56 10,,medical_clinic,medical_clinic;health;service;point_of_interest;establishment,Elche,"Carrer Josefina Manresa, 109, local 2, 03202 Elx, Alicante",4.8,91,https://maps.google.com/?cid=15959376146964911654&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:49:02.792Z
clinica-medica,atleevo,cmpczizkw00kfq1selq7656yv,CENTRO EQUILIBRIUM A CORUÑA,881 99 01 36,http://www.centroequilibrium.es/,medical_clinic,gym;sports_complex;sports_activity_location;sports_school;consultant,A Coruña,"C. Betanzos, 2, 1Dcha, 15004 La Coruña",4.9,72,https://maps.google.com/?cid=10832906849321828728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:47:15.104Z
clinica-medica,atleevo,cmpczm7n100qsq1sedkxm60nf,efficienTraining Botánico Center,661 27 84 07,,health,medical_clinic;service;health;point_of_interest;establishment,Santa Cruz de Tenerife,"Edificio El Risco, Carr. Botánico, 8, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",5,162,https://maps.google.com/?cid=2328462710884108690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:49:45.517Z
clinica-medica,atleevo,cmpczhbnj00gvq1selrsnqzsh,Fit Center,634 53 92 99,http://www.fitcentroponte.com/,health,medical_clinic;service;health;point_of_interest;establishment,Vigo,"Estrada do Vao, s/n, 36330 Vigo, Pontevedra",4.9,123,https://maps.google.com/?cid=7182405961609516928&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:45:57.439Z
clinica-medica,atleevo,cmpczg6x700e1q1seag4yr6n9,IA Expert Training,685 11 39 00,https://www.iaexperttraining.es/,health,wellness_center;medical_clinic;health;point_of_interest;service,Valladolid,"Cl. Cobalto, 7, 47012 Valladolid",5,91,https://maps.google.com/?cid=10769451853409575548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:45:04.651Z
clinica-medica,atleevo,cmpcz60tq004wq1set4jko1pa,JR Centro de Entrenamiento,679 51 86 91,https://entrenamientoyfisioterapiamurciajr.com/,health,medical_clinic;consultant;health;point_of_interest;service,Murcia,"C. Jorge Guillén, 3, 30007 Murcia",4.9,64,https://maps.google.com/?cid=7171073419150586537&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:37:10.191Z
clinica-medica,atleevo,cmpczg7oq00e4q1se1whyu3o1,MÉTODO ZENON - Tenerias,613 91 40 90,https://metodozenon.com/,health,medical_clinic;consultant;health;point_of_interest;service,Valladolid,"Plaza Tenerías, 5, 47006 Valladolid",5,245,https://maps.google.com/?cid=11948613670360127082&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:45:05.642Z
clinica-medica,atleevo,cmpczl8td00oyq1sei8fppaeb,Mircasport,634 44 63 80,http://mircasport.es/,medical_clinic,doctor;medical_clinic;health;service;point_of_interest,Elche,"Carrer Jaime Gómez Orts, 13, 03202 Elx, Alicante",4.8,75,https://maps.google.com/?cid=17175842723859610262&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:49:00.385Z
clinica-medica,atleevo,cmpcza4jj007vq1sepmi5ydj7,Next Level Canarias,605 05 78 68,https://nextlevelcanarias.es/,health,government_office;medical_clinic;service;point_of_interest;health,Las Palmas de Gran Canaria,"Pl. de la Feria, 13, 35003 Las Palmas de Gran Canaria, Las Palmas",4.9,69,https://maps.google.com/?cid=16320709255711937599&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:40:21.632Z
clinica-medica,atleevo,cmpcziqrt00jhq1sewkb2pvck,Not Another Workout,626 17 73 11,http://www.naw.center/,health,medical_clinic;service;health;point_of_interest;establishment,A Coruña,"Praza Mestre Mateo, Nº3, BAJO, 15004 La Coruña",4.9,26,https://maps.google.com/?cid=7706381508923643022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:47:03.689Z
clinica-medica,atleevo,cmpczfr8w00cxq1seqoxsk9gu,Pro-Life Espacio 360,0351 743-2263,http://www.pro-life360.com/,medical_clinic,fitness_center;gym;sports_activity_location;doctor;consultant,Córdoba,"Blvr. Chacabuco 788, X5000IIH Córdoba, Argentina",4.8,299,https://maps.google.com/?cid=13101656811920274638&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:44:44.336Z
clinica-medica,atleevo,cmpcz3ugq002uq1se372o46w8,QDiez,647 07 63 30,http://www.qdiez.com/,medical_clinic,gym;medical_clinic;health;sports_activity_location;point_of_interest,Sevilla,"C. Juan de Zoyas, 3, 41018 Sevilla",4.9,26,https://maps.google.com/?cid=3450671350587280674&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:35:28.634Z
clinica-medica,atleevo,cmpczjsw400loq1seqanc2d7g,Restart Readaptación de Lesiones y Entrenamiento Personal,614 30 72 79,,government_office,medical_clinic;health;point_of_interest;government_office;establishment,Vitoria-Gasteiz,"Angulema Kalea, 7, 01004 Vitoria-Gasteiz, Araba",5,28,https://maps.google.com/?cid=14591260040572439368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:47:53.092Z
clinica-medica,atleevo,cmpcz4hes003kq1sesp1vqf6q,Ritō Fit House,658 66 37 19,https://www.ritofithouse.com/,medical_clinic,medical_clinic;health;point_of_interest;establishment,Zaragoza,"C. de Mariano Lagasca, 14, Local 1, 50006 Zaragoza",5,146,https://maps.google.com/?cid=5694808401158418395&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:35:58.372Z
clinica-medica,atleevo,cmpczjj4600l3q1seavtc252c,Santano Sport Nutrition,945 33 02 81,https://www.santanosport.com/,health,medical_clinic;health;point_of_interest;government_office;store,Vitoria-Gasteiz,"Irati Kalea, 6, bajo a la derecha del centro comercial, 01010 Vitoria-Gasteiz, Araba",4.8,74,https://maps.google.com/?cid=8095673063641055231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,2026-05-19T18:47:40.422Z
