nombre;telefono;direccion;ciudad;codigoPostal;url_paginasamarillas
"Gallarza Centro Veterinario";"941578801";"Calle República Argentina, 32 26007";"Logroño";"26007";"https://www.paginasamarillas.es/f/logrono/gallarza-centro-veterinario_221604721_000000003.html"
"Clínica Veterinaria Alhaurín De La Torre";"952414997";"Calle Almendros, 16 BAJO 29130";"Alhaurín de la Torre";"29130";"https://www.paginasamarillas.es/f/alhaurin-de-la-torre/clinica-veterinaria-alhaurin-de-la-torre_005939640_000000001.html"
"Clínica Veterinaria Amantea";"924249580";"Calle Vicente Delgado Algaba, 35 06010";"Badajoz";"06010";"https://www.paginasamarillas.es/f/badajoz/clinica-veterinaria-amantea_204718498_000000001.html"
"Clínica Veterinaria Cervera";"979870813";"Avenida Rosa de Lima s/n. 34840";"Cervera de Pisuerga";"34840";"https://www.paginasamarillas.es/f/cervera-de-pisuerga/clinica-veterinaria-cervera_219329646_000000002.html"
"Clínica Veterinaria Conde Aranda";"976440850";"Calle Conde Aranda, 68 Bajo 50003";"Zaragoza";"50003";"https://www.paginasamarillas.es/f/zaragoza/clinica-veterinaria-conde-aranda_151817665_000000001.html"
"Clínica Veterinaria Mundo Animal";"914595446";"Avenida del Doctor Federico Rubio Y Galí, 108 28040";"Madrid";"28040";"https://www.paginasamarillas.es/f/madrid/clinica-veterinaria-mundo-animal_197604697_000000001.html"
"Centro Veterinario Anivet";"916855364";"Avenida Castañeras, 32 28939";"Arroyomolinos";"28939";"https://www.paginasamarillas.es/f/arroyomolinos/centro-veterinario-anivet_225342534_000000001.html"
"Clinica Veterinaria Ramon Y Cajal";"628862696";"Calle Francisco Salzillo, 3 BAJO 30205";"Cartagena";"30205";"https://www.paginasamarillas.es/f/cartagena/clinica-veterinaria-ramon-y-cajal_171276173_000000001.html"
"La Clinica De Pablo";"942710041";"Calle Padre Angel, 26 BAJO 39540";"San Vicente de la Barquera";"39540";"https://www.paginasamarillas.es/f/san-vicente-de-la-barquera/la-clinica-de-pablo_220205744_000000001.html"
"Clínica Veterinaria Los Corrales";"954954144";"Calle Corral del Agua, 11 LOCAL 9 41015";"Sevilla";"41015";"https://www.paginasamarillas.es/f/sevilla/clinica-veterinaria-los-corrales_006802904_000000002.html"
"Centre Veterinari La Grípia";"937318632";"Carrer Solsona, 152 08227";"Terrassa";"08227";"https://www.paginasamarillas.es/f/terrassa/centre-veterinari-la-gripia_019391713_000000002.html"
"Clínica Veterinaria Meco";"918860515";"Paseo Sol, 2 28880";"Meco";"28880";"https://www.paginasamarillas.es/f/meco/clinica-veterinaria-meco_161747860_000000001.html"
"Vitalcan Centro Veterinario Urgencias 24 Horas";"954029200";"Calle Factores, 8 Local 24 41015";"Sevilla";"41015";"https://www.paginasamarillas.es/f/sevilla/vitalcan-centro-veterinario-urgencias-24-horas_223530593_000000001.html"
"Centro Veterinario Laykat";"955130765";"Avenida Industria, 10 Pol. Ind. Malpesa 41909";"Salteras";"41909";"https://www.paginasamarillas.es/f/salteras/centro-veterinario-laykat_221943749_000000001.html"
"Clínica Veterinaria Puerta Del Sur";"956142301";"Calle Miguel Hue LOC. (RES.VIRGEN DE LAS MONTAÑAS) 11408";"Jerez de la Frontera";"11408";"https://www.paginasamarillas.es/f/jerez-de-la-frontera/clinica-veterinaria-puerta-del-sur_021277892_000000001.html"
"Centro Veterinario Animalia";"983630402";"Calle MORENA, 1 47009";"Valladolid";"47009";"https://www.paginasamarillas.es/f/valladolid/centro-veterinario-animalia_220792956_000000002.html"
"Clínica Veterinaria Zaindu";"944608649";"Calle Artaza, 20 48940";"Artatza";"48940";"https://www.paginasamarillas.es/f/artatza/clinica-veterinaria-zaindu_167058114_000000001.html"
"Clínica Veterinaria Mercedes Grande";"924301764";"Calle Diego Muñoz Torrero, 3 LOS BODEGONES 06800";"Mérida";"06800";"https://www.paginasamarillas.es/f/merida/clinica-veterinaria-mercedes-grande_229752894_000000001.html"
"Centre Veterinari Montsec";"973445584";"Carrer del Pare Sanahuja, 27 BAJO 25600";"Balaguer";"25600";"https://www.paginasamarillas.es/f/balaguer/centre-veterinari-montsec_017504267_000000001.html"
